,Unnamed: 0,sno,DATE,HEADLINE,TICKER,COMPANY NAME,SECTOR,SUBSECTOR,SERIES,DATE OF LISTING,PAID UP VALUE,MARKET LOT,ISIN NUMBER,FACE VALUE,negative_score,positive_score,neutral_score,compound_score,Unnamed: 0,High,Low,Open,close,volume,adj close,avg High,avg low,avg open,avg close,avg volume,avg adj close,trend
0,0,14,2023-07-24,"BASF reports #Q1 earnings

- Net profit down 42.7% at ₹112.7 cr vs ₹196.8 cr (YoY)

- Revenue down 13.2% at ₹3,374.7 cr vs ₹3,887.8 cr (YoY)

- EBITDA down 36.3% at ₹197.8 cr vs ₹310.7 cr (YoY)

- EBITDA margin at 5.9% vs 8% (YoY)",BASF,BASF India Limited,Chemicals,Chemicals,EQ,17-May-95,10,1,INE373A01013,10,0.0,0.066,0.934,0.4404,0,2610.0,2678.0,2601.050048828125,2664.300048828125,2664.300048828125,145514,3142.210009765625,3171.810009765625,3105.050048828125,3152.23994140625,3145.8984375,45907.4,bearish
1,1,15,2023-07-24,"PNB Housing Finance reports #Q1 earnings

- Net profit up 47.8% at ₹347.3 cr vs ₹235 cr (YoY)

- Revenue up 21% at ₹1,707.6 cr vs ₹1,410.7 cr (YoY)",PNB,Punjab National Bank,Banks - PSU,Banks - PSU,EQ,24-Apr-02,2,1,INE160A01022,2,0.0,0.1,0.9,0.4404,1,63.09999847412109,63.79999923706055,60.54999923706055,62.09999847412109,62.09999847412109,56162634,75.35,76.73000106811523,74.21999969482422,75.32999877929687,75.32999877929687,94425801.8,bearish
2,2,18,2023-07-24,"IDBI Bank reports Q1 earnings

- Profit up 61.9% At ₹1,224.2 Cr Vs ₹756.4 Cr (YoY)

- NII up 60.7% At ₹3,997.6 Cr Vs ₹2,487.5 Cr (YoY)

- Gross NPA at 5.05% vs 6.38% (QoQ)

- Net NPA at 0.44% vs 0.92% (QoQ)",IDBI,IDBI Bank Limited,Banks - PSU,Banks - PSU,EQ,20-Sep-95,10,1,INE008A01015,10,0.072,0.067,0.86,-0.0516,2,57.900001525878906,58.95000076293945,56.54999923706055,57.900001525878906,57.900001525878906,16707700,69.26000061035157,70.05,68.6,69.12000045776367,69.12000045776367,9556145.6,bearish
3,3,20,2023-07-24,"SRF reports #Q1 numbers

-Chemicals segment revenue down 3.6% at ₹1,647 cr vs ₹1,706 cr (YoY)

-Chemicals segment EBIT down 12% at ₹461 cr vs ₹523 cr (YoY)

-Chemicals segment EBIT margin at 28% vs 31% (YoY)",SRF,SRF Limited,Diversified,Diversified,EQ,18-Aug-03,10,1,INE647A01010,10,0.0,0.0,1.0,0.0,3,2228.050048828125,2230.25,2040.0,2144.35009765625,2137.418701171875,1884393,2677.1,2697.67998046875,2638.230029296875,2661.22001953125,2652.61806640625,904254.8,bullish
4,4,37,2023-07-25,"ITC extends decline, down more than 3% after co's board gives in-principal nod for Hotels biz demerger",ITC,ITC Limited,,,EQ,23-Aug-95,1,1,INE154A01025,1,0.0,0.086,0.914,0.128,4,467.8999938964844,468.5,462.0499877929688,462.2999877929688,455.6085205078125,43534718,575.6699951171875,582.8500122070312,565.1899963378906,573.5200012207031,565.2187194824219,27190665.4,bullish
5,5,83,2023-07-27,M&M down more than 5% after co replies to newsbreak to  acquire 3.53% stake in RBL Bank,M&M,Mahindra & Mahindra Limited,Auto,Auto,EQ,03-Jan-96,5,1,INE101A01026,5,0.0,0.0,1.0,0.0,5,1499.0,1500.0,1450.0,1447.4000244140625,1447.4000244140625,11879512,1848.3199951171875,1861.3699951171875,1816.55,1834.739990234375,1834.739990234375,4262744.6,bullish
6,6,86,2023-07-27,"M&M sees biggest single-day drop since February 2022, erases market cap of more than Rs 11,300 cr after co announces acquisition of stake In RBL Bank",M&M,Mahindra & Mahindra Limited,Auto,Auto,EQ,03-Jan-96,5,1,INE101A01026,5,0.077,0.0,0.923,-0.2732,6,1499.0,1500.0,1450.0,1447.4000244140625,1447.4000244140625,11879512,1848.3199951171875,1861.3699951171875,1816.55,1834.739990234375,1834.739990234375,4262744.6,bullish
7,7,87,2023-07-27,"NTPC says, the second unit of 660 MW capacity of Barh Super Thermal Power Station, Stage-I (3x660 MW) is declared commercially operational w.e.f Aug 1",NTPC,NTPC Limited,Power - Generation & Distribution,Power - Generation & Distribution,EQ,05-Nov-04,10,1,INE733E01010,10,0.0,0.145,0.855,0.5994,7,201.75,203.0,199.5,201.9499969482422,195.9378204345703,16013422,236.15,238.82000122070312,234.68000183105468,237.6199981689453,230.5458953857422,15569788.0,bullish
8,8,99,2023-07-28,"#JustIN | PVR Inox opens a 5-screen multiplex at Plutone Mall, Rourkela, Odisha",PVR,PVR Limited,Media & Entertainment,Media & Entertainment,EQ,04-Jan-06,10,1,INE191H01014,10,0.0,0.0,1.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,unknown
9,9,101,2023-07-28,"LT Foods reports #Q1 earnings. 

▶️Net profit up 53.2% at  ₹137.4 cr vs ₹89.7 cr (YoY)
▶️Revenue up 10.4% at ₹1,778.1 cr  vs ₹1,611.1 cr (YoY)
▶️EBITDA up 28% at ₹213.6 cr  vs ₹166.9 cr (YoY)
▶️EBITDA margin at 12% vs 10.4% (YoY)",LT,Larsen & Toubro Limited,Infrastructure - General,Infrastructure - General,EQ,23-Jun-04,2,1,INE018A01030,2,0.0,0.065,0.935,0.4404,9,2660.14990234375,2668.14990234375,2631.10009765625,2649.550048828125,2643.588623046875,1325724,3139.149951171875,3173.82001953125,3102.889990234375,3141.67998046875,3134.611181640625,3619641.4,bullish
