,Unnamed: 0,sno,DATE,HEADLINE,TICKER,COMPANY NAME,SECTOR,SUBSECTOR,SERIES,DATE OF LISTING,PAID UP VALUE,MARKET LOT,ISIN NUMBER,FACE VALUE,negative_score,positive_score,neutral_score,compound_score,High,Low,Open,close,volume,adj close,avg High,avg low,avg open,avg close,avg volume,avg adj close,trend
0,0,10,2022-08-22,"FTSE Semi Annual Review
Key changes 
Migration to Midcap from Large Cap
Aurobindo Pharma, Gaj Gas, HPCL, Lupin, NMDC, Star Health, SAIL & Voda Idea",SAIL,Steel Authority of India Limited,Steel,Steel,EQ,06-Jul-95,10,1,INE114A01011,10,0.0,0.0,1.0,0.0,81.19999694824219,81.19999694824219,77.0,78.1500015258789,76.24221801757812,18504246.0,98.14999847412109,99.37999877929687,96.58000030517579,98.03000030517578,95.63690795898438,30238644.4,bullish
1,1,14,2022-08-22,TCS bags order from Absa Corporate & Investment Bank,TCS,Tata Consultancy Services Limited,Computers,Computers,EQ,25-Aug-04,1,1,INE467B01029,1,0.0,0.0,1.0,0.0,3365.0,3384.10009765625,3270.0,3354.550048828125,3223.4912109375,1536532.0,4071.42001953125,4089.880029296875,4044.1,4063.380029296875,3904.627783203125,1660044.6,bearish
2,2,17,2022-08-22,"L&T wins order in the range of ₹2,500-5,000 cr from IOC",IOC,Indian Oil Corporation Limited,Refineries,Refineries,EQ,24-Jul-96,10,1,INE242A01010,10,0.0,0.27,0.73,0.5719,72.0999984741211,72.1500015258789,70.75,71.30000305175781,65.77314758300781,13714233.0,86.85,87.46000061035156,86.08000030517579,86.83000183105469,80.09932861328124,20706375.2,bearish
3,3,28,2022-08-22,"GILLETTE INDIA: Q1 EBITDA 1.1B RUPEES VS 523M (YOY) || Q1 EBITDA MARGIN 20.20% VS 12% (YOY)

BEAT YOY
BEAT QOQ",GILLETTE,Gillette India Limited,FMCG,FMCG,EQ,30-Jul-03,10,1,INE322A01010,10,0.0,0.0,1.0,0.0,5364.0,5624.9501953125,5400.0,5525.0,5373.6689453125,74553.0,6357.5900390625,6462.24013671875,6297.85,6387.6,6212.6419921875,19394.0,bearish
4,4,34,2022-08-22,"RBL Bank approves raising up to Rs 3,000 cr via debt securities",RBL,Rane Brake Lining Limited,Auto Ancillaries,Auto Ancillaries,EQ,20-Jun-08,10,1,INE244J01017,10,0.152,0.299,0.549,0.34,727.0,741.5499877929688,694.6500244140625,729.7000122070312,709.3876953125,18055.0,852.6400146484375,872.65,845.0199951171875,855.210009765625,831.40390625,23758.8,bearish
5,5,54,2022-08-23,Maharashtra Seamless bags order worth ₹197 crore for pipes from ONGC,ONGC,Oil & Natural Gas Corporation Limited,Oil Drilling,Oil Drilling,EQ,19-Jul-95,5,1,INE213A01029,5,0.0,0.16,0.84,0.2263,131.89999389648438,134.1999969482422,134.5,133.75,118.4081039428711,24268146.0,164.31999816894532,165.63999938964844,160.69000244140625,163.0799987792969,143.22166900634767,36080902.6,bullish
6,6,58,2022-08-23,"NDTV says VCPL executes warrant conversion without NDTV founders' consent

#NDTV founders have been informed of warrant conversion by VCPL only today

RRPR, which owns 29.18% stake, asked to transfer all its shrs within 2 days",NDTV,New Delhi Television Limited,Entertainment,Entertainment,BE,19-May-04,4,1,INE155G01029,4,0.047,0.0,0.953,-0.1695,351.5,376.54998779296875,373.6000061035156,369.75,369.75,1265200.0,402.1199951171875,422.8299987792969,387.24000244140626,412.0799987792969,412.0799987792969,1705591.0,bullish
7,7,62,2022-08-24,BEML in focus ahead of board meet today to consider record date for 1:1 issue of shares by BEML Land Assets,BEML,BEML Limited,Infrastructure - General,Infrastructure - General,EQ,05-Nov-03,10,1,INE258A01016,10,0.0,0.17,0.83,0.4404,1557.2138671875,1562.182861328125,1507.6929931640625,1512.4093017578125,1496.2913818359375,264507.0,1824.76162109375,1867.1239013671875,1798.9821044921875,1834.48056640625,1814.9302001953124,657163.2,bullish
8,8,69,2022-08-24,RBL Bank rises 10% to hit temporary freeze,RBL,Rane Brake Lining Limited,Auto Ancillaries,Auto Ancillaries,EQ,20-Jun-08,10,1,INE244J01017,10,0.0,0.146,0.854,0.0516,709.75,717.0,711.0999755859375,705.5,685.861328125,33006.0,856.5700073242188,877.9099975585938,842.7300048828125,855.960009765625,832.1330322265625,36207.0,bullish
9,9,71,2022-08-24,RBL Bank large trade | 93.6 lakh shares (1.5% equity) worth 113.4 cr change hands at Rs 124.50/sh,RBL,Rane Brake Lining Limited,Auto Ancillaries,Auto Ancillaries,EQ,20-Jun-08,10,1,INE244J01017,10,0.0,0.215,0.785,0.4767,709.75,717.0,711.0999755859375,705.5,685.861328125,33006.0,856.5700073242188,877.9099975585938,842.7300048828125,855.960009765625,832.1330322265625,36207.0,bullish
10,10,75,2022-08-24,NHPC subsidiary signs #MoU with Rajasthan Govt for Ultra Mega Renewable Energy Park,NHPC,NHPC Limited,Power - Generation & Distribution,Power - Generation & Distribution,EQ,01-Sep-09,10,1,INE848E01016,10,0.0,0.149,0.851,0.2732,33.900001525878906,34.349998474121094,34.54999923706055,34.0,32.05091857910156,4272065.0,41.37000045776367,41.90999908447266,40.67999954223633,41.12000045776367,38.7627571105957,9580504.0,bullish
11,11,87,2022-08-25,"PVR Large Trade  | 8.71 lakh shares (1.4% equity) worth Rs 160 cr change hands at Rs 1,842/Sh",PVR,PVR Limited,Media & Entertainment,Media & Entertainment,EQ,04-Jan-06,10,1,INE191H01014,10,0.0,0.215,0.785,0.4767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unknown
12,12,102,2022-08-25,DLF launches 34-acre independent floors project in Panchkula,DLF,DLF Limited,Construction & Contracting - Real Estate,Construction & Contracting - Real Estate,EQ,05-Jul-07,2,1,INE271C01023,2,0.0,0.0,1.0,0.0,373.95001220703125,383.20001220703125,378.6499938964844,376.70001220703125,373.7501220703125,4424052.0,449.8799987792969,455.87000732421876,442.9200012207031,448.9200012207031,445.4045715332031,5081383.4,bullish
13,13,104,2022-08-26,"NMDC in focus
SC directs for lifting of cap to 35 from 28 million metric tonnes in district of Ballari",NMDC,NMDC Limited,Mining & Minerals,Mining & Minerals,EQ,03-Mar-08,1,1,INE584A01023,1,0.0,0.0,1.0,0.0,94.9273452758789,96.08030700683594,91.89120483398438,94.50459289550781,87.17963409423828,17851325.0,108.7475341796875,111.59919891357421,107.81747741699219,109.69296569824219,101.19077758789062,30822418.2,bullish
14,14,118,2022-08-26,"Adani Group's response to NDTV on requirement for SEBI nod, says ‘RRPR not a party to SEBI order",NDTV,New Delhi Television Limited,Entertainment,Entertainment,BE,19-May-04,4,1,INE155G01029,4,0.124,0.0,0.876,-0.3089,421.8999938964844,427.95001220703125,430.0,427.70001220703125,427.70001220703125,4221514.0,451.7399963378906,467.5300048828125,436.3799987792969,463.65000610351564,463.65000610351564,2264427.2,bullish
